ruby,card_name,effect
あうんのこきゅう,阿吽の呼吸,このカード名のカードは１ターンに１枚しか発動できず、このカード名の②の効果は１ターンに１度しか使用できない。①：このカードの発動時の効果処理として、デッキから「双天」モンスター１体を手札に加える事ができる。②：自分フィールドに「双天」効果モンスターが存在する場合に発動できる。自分フィールドに「双天魂トークン」（戦士族・光・星２・攻／守０）１体を特殊召喚する。この効果の発動後、ターン終了時まで自分は融合モンスターしかEXデッキから特殊召喚できない。
アヴァロンのまじょモルガン,アヴァロンの魔女モルガン,このカード名の効果は１ターンに１度しか使用できない。①：自分フィールドに「聖騎士」モンスター及び「聖剣」装備魔法カードが存在し、相手が魔法・罠・モンスターの効果を発動した時、このカードを手札から墓地へ送って発動できる。自分フィールドの「聖剣」装備魔法カード１枚を選んで破壊し、その発動を無効にする。
あおいなみだのてんし,青い涙の天使,このカード名の①②の効果は１ターンに１度、いずれか１つしか使用できない。①：フィールドの表側表示モンスター１体を対象として発動できる。そのモンスターのコントローラーから見て相手は、自身の手札の数×２００ダメージを受ける。その後、対象のモンスターの効果をターン終了時まで無効にする。②：自分または相手が効果ダメージを受けた場合、墓地のこのカードを除外して発動できる。手札・デッキから通常罠カード１枚を選んで自分フィールドにセットする。手札からセットした場合、そのカードはセットしたターンでも発動できる。
あおきめのいこう,青き眼の威光,このカード名のカードは１ターンに１枚しか発動できない。①：手札・デッキから「ブルーアイズ」モンスター１体を墓地へ送り、フィールドの表側表示モンスター１体を対象として発動できる。そのモンスターはフィールドに表側表示で存在する限り、攻撃できない。
あおきめのおとめ,青き眼の乙女,このカード名の①②の効果は１ターンに１度、いずれか１つしか使用できない。①：フィールドの表側表示のこのカードが効果の対象になった時に発動できる。自分の手札・デッキ・墓地から「青眼の白龍」１体を選んで特殊召喚する。②：このカードが攻撃対象に選択された時に発動できる。その攻撃を無効にし、このカードの表示形式を変更する。その後、自分の手札・デッキ・墓地から「青眼の白龍」１体を選んで特殊召喚できる。
あおきめのけんし,青き眼の賢士,このカード名の②の効果は１ターンに１度しか使用できない。①：このカードが召喚に成功した時に発動できる。デッキから「青き眼の賢士」以外の光属性・レベル１チューナー１体を手札に加える。②：このカードを手札から捨て、自分フィールドの効果モンスター１体を対象として発動できる。そのモンスターを墓地へ送り、デッキから「ブルーアイズ」モンスター１体を特殊召喚する。
あおきめのげきりん,青き眼の激臨,このカードを発動するターン、自分は「青眼の白龍」しか召喚・特殊召喚できない。①：このカードを含む、自分の手札・フィールド・墓地のカードを全て裏側表示で除外し、デッキから「青眼の白龍」を３体まで特殊召喚する。
あおきめのげんしゅつ,青き眼の幻出,このカード名のカードは１ターンに１枚しか発動できない。①：このカードは手札の「青眼の白龍」１体を見せて発動する事もできる。その場合、手札からモンスター１体を特殊召喚する。②：１ターンに１度、自分フィールドの表側表示モンスター１体を対象として発動できる。その表側表示モンスターを持ち主の手札に戻す。その後、手札に戻したカードの元々のカード名によって以下の効果を適用できる。●「青眼の白龍」：手札からモンスター１体を特殊召喚する。●それ以外：手札から「ブルーアイズ」モンスター１体を特殊召喚する。
あおきめのさいし,青き眼の祭司,「青き眼の祭司」の②の効果は１ターンに１度しか使用できない。①：このカードが召喚に成功した時、自分の墓地の光属性・レベル１チューナー１体を対象として発動できる。そのモンスターを手札に加える。②：墓地のこのカードをデッキに戻し、自分フィールドの効果モンスター１体を対象として発動できる。そのモンスターを墓地へ送り、そのモンスター以外の「ブルーアイズ」モンスター１体を自分の墓地から選んで特殊召喚する。
あおきめのみこ,青き眼の巫女,「青き眼の巫女」の①②の効果は１ターンに１度、いずれか１つしか使用できない。①：フィールドの表側表示のこのカードが効果の対象になった時に発動できる。自分フィールドの効果モンスター１体を選んで墓地へ送り、デッキから「ブルーアイズ」モンスターを２体まで手札に加える（同名カードは１枚まで）。②：このカードが墓地に存在する場合、自分フィールドの「ブルーアイズ」モンスター１体を対象として発動できる。そのモンスターを持ち主のデッキに戻し、このカードを墓地から特殊召喚する。
あおきめのもりと,青き眼の護人,「青き眼の護人」の②の効果は１ターンに１度しか使用できない。①：このカードが召喚に成功した時に発動できる。手札から光属性・レベル１チューナー１体を特殊召喚する。②：自分フィールドの効果モンスター１体を対象として発動できる。そのモンスターを墓地へ送り、手札から「ブルーアイズ」モンスター１体を特殊召喚する。
あかありアスカトル,赤蟻アスカトル,①：このカードが戦闘で破壊され墓地へ送られた時、自分の墓地のレベル５モンスター１体を対象として発動できる。そのモンスターを特殊召喚する。この効果で特殊召喚したモンスターの効果は無効化され、このターンのエンドフェイズに墓地へ送られる。
あかいくつ,朱い靴,リバース：表側表示モンスター１体の表示形式を変更する（裏側表示にはできない）。
あかおに,赤鬼,このカードが召喚に成功した時、自分の手札を任意の枚数墓地に送る事で、その枚数分だけフィールド上のカードを持ち主の手札に戻す。
あかきけんのライムンドス,赤き剣のライムンドス,赤き炎の剣を持った戦士。炎の束縛で動きを封じる。
あかきちぞめのエルドリクシル,紅き血染めのエルドリクシル,このカード名の①②の効果は１ターンに１度、いずれか１つしか使用できない。①：自分のデッキ・墓地からアンデット族モンスター１体を選んで特殊召喚する。自分フィールドに「エルドリッチ」モンスターが存在しない場合には、この効果で「エルドリッチ」モンスターしか特殊召喚できない。このカードの発動後、ターン終了時まで自分はアンデット族モンスターしか特殊召喚できない。②：墓地のこのカードを除外して発動できる。デッキから「黄金郷」魔法・罠カード１枚を選んで自分フィールドにセットする。
あかきりゅう,赤き竜,チューナー＋チューナー以外のモンスター１体以上このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：このカードが特殊召喚した場合に発動できる。デッキから「赤き竜」のカード名が記された魔法・罠カード１枚を手札に加える。②：自分・相手ターンに、「赤き竜」を除く、フィールドのレベル７以上のSモンスター１体を対象として発動できる。このカードをEXデッキに戻し、対象のモンスターと同じレベルのドラゴン族Sモンスター１体をS召喚扱いでEXデッキから特殊召喚する。
アカシック・マジシャン,アカシック・マジシャン,トークン以外の同じ種族のモンスター２体自分は「アカシック・マジシャン」を１ターンに１度しかリンク召喚できない。①：このカードがリンク召喚に成功した場合に発動する。このカードのリンク先のモンスターを全て持ち主の手札に戻す。②：１ターンに１度、カード名を１つ宣言して発動できる。このカードの相互リンク先のモンスターのリンクマーカーの合計分だけ自分のデッキの上からカードをめくり、その中に宣言したカードがあった場合、そのカードを手札に加える。それ以外のめくったカードは全て墓地へ送る。
あかしゃりのぐんかん,赤しゃりの軍貫,このカード名の②の効果は１ターンに１度しか使用できない。①：このカードのカード名は、手札・デッキ・フィールド・墓地に存在する限り「しゃりの軍貫」として扱う。②：手札の他の「しゃりの軍貫」１体を相手に見せて発動できる。このカードを手札から特殊召喚する。その後、以下を適用できる。●「しゃりの軍貫」以外の「軍貫」モンスター１体を効果を無効にしてデッキから特殊召喚し、そのモンスターとこのカードを素材として、そのモンスターのカード名が記されたXモンスター１体をX召喚扱いとしてEXデッキから特殊召喚する。
あかずのふみきり,赤酢の踏切,①：「赤酢の踏切」は自分フィールドに１枚しか表側表示で存在できない。②：セットされたこのカードと同じ縦列に相手のカードが存在する場合にこのカードを発動できる。このカードと同じ縦列の、このカード以外のカードを全て持ち主の手札に戻す。③：このカードが魔法＆罠ゾーンに存在する限り、このカードと同じ縦列の使用していないゾーンは使用できない。
あかのせいじょカルテシア,赫の聖女カルテシア,このカード名の①②③の効果はそれぞれ１ターンに１度しか使用できない。①：自分のフィールドまたは墓地に「アルバスの落胤」が存在する場合に発動できる。このカードを手札から特殊召喚する。②：お互いのメインフェイズに発動できる。自分の手札・フィールドから、レベル８以上の融合モンスターカードによって決められた融合素材モンスターを墓地へ送り、その融合モンスター１体をEXデッキから融合召喚する。③：このターンに融合モンスターが自分の墓地へ送られている場合、エンドフェイズに発動できる。墓地のこのカードを手札に加える。
あかのらくいん,赫の烙印,このカード名のカードは１ターンに１枚しか発動できない。①：自分の墓地の、「デスピア」モンスターまたは「アルバスの落胤」１体を対象として発動できる。そのモンスターを手札に加える。その後、以下の効果を適用できる。●自分の手札・フィールドから、レベル８以上の融合モンスターカードによって決められた融合素材モンスターを除外し、その融合モンスター１体をEXデッキから融合召喚する。この効果で特殊召喚したモンスターはこのターン直接攻撃できない。
あきチルビメ,紅姫チルビメ,このカードがフィールド上に表側表示で存在する限り、相手は他の植物族モンスターを攻撃対象に選択できない。また、このカードが相手によって墓地へ送られた場合、デッキから「紅姫チルビメ」以外の植物族モンスター１体を特殊召喚できる。
アギド,アギド,このカードが戦闘によって破壊され墓地に送られた時、サイコロを１回振る。自分の墓地から、サイコロの出た目と同じレベルの天使族モンスター１体を特殊召喚する事ができる。（６の目が出た場合は、レベル６以上のモンスターを含む）
アクアアクトレス・アロワナ,アクアアクトレス・アロワナ,①：１ターンに１度、自分メインフェイズに発動できる。デッキから「アクアアクトレス」モンスター１体を手札に加える。
アクアアクトレス・グッピー,アクアアクトレス・グッピー,①：１ターンに１度、自分メインフェイズに発動できる。手札から「アクアアクトレス」モンスター１体を特殊召喚する。
アクアアクトレス・テトラ,アクアアクトレス・テトラ,①：１ターンに１度、自分メインフェイズに発動できる。デッキから「アクアリウム」カード１枚を手札に加える。
アクア・ジェット,アクア・ジェット,①：自分フィールドの魚族・海竜族・水族モンスター１体を対象として発動できる。そのモンスターの攻撃力は１０００アップする。
アクア・ストーリー－ウラシマ,水物語－ウラシマ,①：自分の墓地に「アクアアクトレス」モンスターが存在する場合、フィールドのモンスター１体を対象として発動できる。ターン終了時まで、そのモンスターの効果は無効化され、攻撃力・守備力は１００になり、相手の効果を受けない。
アクア・スネーク,アクア・スネーク,尾の先についている玉で催眠術をかけ、相手をおぼれさせる。
アクア・ドラゴン,アクア・ドラゴン,「フェアリー・ドラゴン」＋「海原の女戦士」＋「ゾーン・イーター」
アクアのがっしょう,アクアの合唱,①：フィールドに同名モンスターが存在する、フィールドのモンスターの攻撃力・守備力は５００アップする。
アクアのりんしょう,アクアの輪唱,①：自分の手札を１枚選んで除外する。次の自分スタンバイフェイズに、この効果で除外したカードの同名カードを２枚までデッキから手札に加える事ができる。相手フィールドにカードが存在しない状態でこのカードを発動した場合、発動したターンの終了時まで自分はこの効果で除外したカード及びそのカードと元々のカード名が同じカードの効果を発動できない。
アクア・マドール,アクア・マドール,水をあやつる魔法使い。分厚い水の壁をつくり敵を押しつぶす。
アクアリウム・ステージ,水舞台,①：自分フィールドの水属性モンスターは、水属性以外のモンスターとの戦闘では破壊されない。②：自分フィールドの「アクアアクトレス」モンスターは相手モンスターの効果を受けない。③：このカードがフィールドから墓地へ送られた場合、自分の墓地の水族モンスター１体を対象として発動できる。そのモンスターを特殊召喚する。この効果の発動後、ターン終了時まで自分は水族モンスターしか特殊召喚できない。
アクアリウム・セット,水舞台装置,①：自分フィールドの水属性モンスターの攻撃力・守備力は３００アップする。②：自分フィールドの「アクアアクトレス」モンスターの攻撃力・守備力は３００アップする。③：このカードがフィールドから墓地へ送られた場合、自分の墓地の水族モンスター１体を対象として発動できる。そのモンスターを特殊召喚する。この効果の発動後、ターン終了時まで自分は水族モンスターしか特殊召喚できない。
アクアリウム・ライティング,水照明,①：「水照明」は自分フィールドに１枚しか表側表示で存在できない。②：自分の「アクアアクトレス」モンスターが相手モンスターと戦闘を行うダメージ計算時に発動する。その自分のモンスターの攻撃力・守備力はダメージ計算時のみ倍になる。③：このカードがフィールドから墓地へ送られた場合、自分の墓地の水族モンスター１体を対象として発動できる。そのモンスターを特殊召喚する。この効果の発動後、ターン終了時まで自分は水族モンスターしか特殊召喚できない。
あくうかんジャンプそうち,亜空間ジャンプ装置,自分フィールド上モンスター１体と、相手フィールド上のAカウンターが乗ったモンスター１体のコントロールを入れ替える。
あくうかんぶっしつてんそうそうち,亜空間物質転送装置,①：自分フィールドの表側表示モンスター１体を対象として発動できる。その自分の表側表示モンスターをエンドフェイズまで除外する。
あくおうアフリマ,悪王アフリマ,このカード名の②の効果は１ターンに１度しか使用できない。①：このカードを手札から捨てて発動できる。デッキから「闇黒世界－シャドウ・ディストピア－」１枚を手札に加える。②：自分フィールドの闇属性モンスター１体をリリースして発動できる。自分はデッキから１枚ドローする。この効果を発動するためにこのカード以外の闇属性モンスターをリリースした場合、ドローする代わりにデッキから守備力２０００以上の闇属性モンスター１体を手札に加える事ができる。
アクションマジック－ダブル・バンキング,アクションマジック－ダブル・バンキング,①：手札を１枚捨てて発動できる。自分フィールドのモンスターは、このターン戦闘で相手モンスターを破壊した場合、もう１度だけ続けて攻撃できる。②：このカードが墓地に存在する場合、自分メインフェイズに手札から魔法カード１枚を捨てて発動できる。このカードを自分の魔法＆罠ゾーンにセットする。この効果はこのカードが墓地へ送られたターンには発動できない。
アクションマジック－フルターン,アクションマジック－フルターン,①：このターン、モンスター同士の戦闘で発生するお互いの戦闘ダメージは倍になる。②：このカードが墓地に存在する場合、自分メインフェイズに手札から魔法カード１枚を捨てて発動できる。このカードを自分の魔法＆罠ゾーンにセットする。この効果はこのカードが墓地へ送られたターンには発動できない。
あくせいしナイトメルト,悪醒師ナイトメルト,このカード名の効果は１ターンに１度しか使用できない。①：自分フィールドのモンスター１体をリリースして発動できる。そのモンスターとは元々のカード名が異なり、元々の種族・属性・レベル・攻撃力・守備力が同じモンスター１体をデッキから特殊召喚する。EXデッキから特殊召喚されたモンスターをリリースして発動した場合、この効果で特殊召喚するモンスターをEXデッキから選ぶ事もできる。
アクセスコード・トーカー,アクセスコード・トーカー,効果モンスター２体以上このカードの効果の発動に対して相手は効果を発動できない。①：このカードがリンク召喚に成功した場合、そのリンク素材としたリンクモンスター１体を対象として発動できる。このカードの攻撃力は、そのモンスターのリンクマーカーの数×１０００アップする。②：自分のフィールド・墓地からリンクモンスター１体を除外して発動できる。相手フィールドのカード１枚を選んで破壊する。このターン、自分の「アクセスコード・トーカー」の効果を発動するために同じ属性のモンスターを除外する事はできない。
アクセルシンクロ・スターダスト・ドラゴン,アクセルシンクロ・スターダスト・ドラゴン,チューナー＋チューナー以外のモンスター１体以上このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：このカードがS召喚に成功した場合に発動できる。自分の墓地からレベル２以下のチューナー１体を選んで特殊召喚する。②：お互いのメインフェイズに、このカードをリリースして発動できる。EXデッキから「スターダスト・ドラゴン」１体をS召喚扱いで特殊召喚する。その後、自分フィールドのモンスターを素材としてS召喚する。このターン、この効果でS召喚したモンスターは相手が発動した効果を受けない。
アクセル・シンクロン,アクセル・シンクロン,チューナー＋チューナー以外のモンスター１体以上自分は「アクセル・シンクロン」を１ターンに１度しかS召喚できない。①：１ターンに１度、デッキから「シンクロン」モンスター１体を墓地へ送り、以下の効果から１つを選択して発動できる。●墓地へ送ったそのモンスターのレベル分だけ、このカードのレベルを上げる。●墓地へ送ったそのモンスターのレベル分だけ、このカードのレベルを下げる。②：相手メインフェイズに発動できる。このカードを含む自分フィールドのモンスターをS素材としてS召喚する。
アクセル・ライト,アクセル・ライト,このカード名のカードは１ターンに１枚しか発動できず、このカードを発動するターン、自分は通常召喚できない。①：自分フィールドにモンスターが存在しない場合に発動できる。デッキからレベル４以下の、「フォトン」モンスターまたは「ギャラクシー」モンスター１体を特殊召喚する。
あくのデッキはかいウイルス,悪のデッキ破壊ウイルス,①：自分フィールドの攻撃力３０００以下の闇属性モンスター１体をリリースして発動できる。そのモンスターの攻撃力５００につき１枚、相手は自身の手札・デッキからカードを選んで破壊する。このカードを発動するために攻撃力２０００以上のモンスターをリリースした場合、相手ターンで数えて３ターンの間に相手がドローしたカードを全て確認し、その内のモンスターを全て破壊する。また、このカードの効果で破壊され墓地へ送られているカードは、破壊されたターンには効果を発動できない。
あくのむめいせんし,悪の無名戦士,素早い動きで真空を作り出し、相手を切り刻む戦士。
あくまかがみのぎしき,悪魔鏡の儀式,「デビルズ・ミラー」の降臨に必要。場か手札から、星の数が合計６個以上になるようカードを生け贄に捧げなければならない。
あくまじょうアリス,悪魔嬢アリス,このカード名の①③の効果はそれぞれ１ターンに１度しか使用できない。①：自分の手札・墓地から罠カード１枚を除外して発動できる。このカードを手札から特殊召喚する。②：このカードが召喚に成功した時、自分の墓地の「悪魔嬢」モンスター１体を対象として発動できる。そのモンスターを特殊召喚する。③：このカードがリリースされた場合、または相手によって破壊された場合に発動できる。デッキから「悪魔嬢アリス」以外の攻撃力・守備力の合計が２０００となる悪魔族モンスター１体を手札に加える。
あくまじょうマリス,悪魔嬢マリス,このカード名の効果は１ターンに１度しか使用できない。①：自分フィールドのモンスター２体をリリースし、自分の墓地のカード及び除外されている自分のカードの中から、通常罠カード１枚を対象として発動できる。そのカードを自分フィールドにセットする。この効果でセットしたカードはフィールドから離れた場合に持ち主のデッキの一番下に戻る。この効果は相手ターンでも発動できる。
あくまじょうリリス,悪魔嬢リリス,このカード名の②の効果は１ターンに１度しか使用できない。①：召喚したこのカードの元々の攻撃力は１０００になる。②：自分フィールドの闇属性モンスター１体をリリースして発動できる。デッキから通常罠カード３枚を相手に見せ、相手はその中からランダムに１枚選ぶ。そのカード１枚を自分フィールドにセットし、残りのカードはデッキに戻す。この効果は相手ターンでも発動できる。
あくまじょうロリス,悪魔嬢ロリス,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：自分の墓地のカード及び除外されている自分のカードの中から、通常罠カード３枚または６枚を対象として発動できる。そのカードを好きな順番でデッキの下に戻す。その後、戻したカード３枚につき１枚、自分はデッキからドローする。②：このカード以外のモンスターがリリースされた場合、または相手の効果で自分の墓地へ通常罠カードが送られた場合、自分の墓地の通常罠カード１枚を対象として発動できる。そのカードを自分フィールドにセットする。
あくまのくちづけ,悪魔のくちづけ,①：装備モンスターの攻撃力は７００アップする。②：このカードがフィールドから墓地へ送られた時、５００LPを払って発動できる。このカードをデッキの一番上に戻す。
あくまのサイコロ,悪魔のサイコロ,①：サイコロを１回振る。相手フィールドのモンスターの攻撃力・守備力は、ターン終了時まで出た目の数×１００ダウンする。
あくまのちえ,悪魔の知恵,このカードの表示形式が攻撃表示から表側守備表示に変わった時、自分のデッキをシャッフルする。
